sensor_type,device_type,timestamps,ssid,bssid,frequency,level 
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-82
WiFi,smartphone,1528010811465000000,AndroidAP1895,26:18:1d:41:18:95,2437,-85
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-81
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-79
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-72
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:32:40:e1,2437,-72
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-79
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-72
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-85
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-85
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-82
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-82
WiFi,smartphone,1528010811466000000,AndroidAP1895,26:18:1d:41:18:95,2437,-85
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:50:70:31,2462,-81
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-78
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-80
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-72
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-85
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-85
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-82
WiFi,smartphone,1528010811466000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811466000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-84
WiFi,smartphone,1528010811466000000,AndroidAP1895,26:18:1d:41:18:95,2437,-83
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-81
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-78
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-72
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-80
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-72
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-85
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-85
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-84
WiFi,smartphone,1528010811465000000,AndroidAP1895,26:18:1d:41:18:95,2437,-82
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:50:70:31,2462,-83
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-83
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-72
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-82
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-71
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-88
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-88
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-84
WiFi,smartphone,1528010811466000000,AndroidAP1895,26:18:1d:41:18:95,2437,-82
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-83
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-83
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-72
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-82
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-77
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-71
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-88
WiFi,smartphone,1528010811466000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-87
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-86
WiFi,smartphone,1528010811465000000,AndroidAP1895,26:18:1d:41:18:95,2437,-82
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-49
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-49
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:37:e7:c1,2412,-77
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-51
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-83
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-83
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-70
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-72
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-84
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-82
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-71
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-89
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-87
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-86
WiFi,smartphone,1528010811465000000,AndroidAP1895,26:18:1d:41:18:95,2437,-82
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-47
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-48
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-74
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-48
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-77
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-76
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-73
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:32:40:e1,2437,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-76
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-79
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-72
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-82
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-88
WiFi,smartphone,1528010811466000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-83
WiFi,smartphone,1528010811466000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-75
WiFi,smartphone,1528010811465000000,AndroidAP1895,26:18:1d:41:18:95,2437,-88
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-47
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-47
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-74
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-47
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:50:70:31,2462,-74
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-74
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-71
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-69
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-74
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-72
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:cd:d2:21,2462,-82
WiFi,smartphone,1528010811465000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-88
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-83
WiFi,smartphone,1528010811466000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-87
WiFi,smartphone,1528010811466000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-75
WiFi,smartphone,1528010811466000000,AndroidAP1895,26:18:1d:41:18:95,2437,-88
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:6a:7d:01,2412,-45
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-47
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:37:e7:c1,2412,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-68
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-68
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-68
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-82
WiFi,smartphone,1528010811466000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-86
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-84
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-75
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-45
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-45
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-74
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-81
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-68
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-68
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-68
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-82
WiFi,smartphone,1528010811466000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-86
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-75
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-45
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-45
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-46
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:50:70:31,2462,-74
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-81
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-68
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:32:40:e1,2437,-68
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-73
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-68
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-83
WiFi,smartphone,1528010811466000000,VU-Campusnet,d0:c7:89:cd:d2:20,2462,-83
WiFi,smartphone,1528010811465000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-80
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-75
WiFi,smartphone,1528010811465000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-81
WiFi,smartphone,1528010811465000000,eduroam,d0:c7:89:b5:a1:e1,2462,-87
WiFi,smartphone,1528010811466000000,VU-Campusnet,d0:c7:89:b5:a1:e0,2462,-88
WiFi,smartphone,1528010811466000000,VUwirelessSetup,d0:c7:89:b5:a1:e3,2462,-87
WiFi,smartphone,1528010811466000000,eduroam,7c:0e:ce:b9:40:31,2462,-90
WiFi,smartphone,1528010811466000000,VU-Campusnet,7c:0e:ce:b9:40:30,2462,-89
WiFi,smartphone,1528010811465000000,VUwirelessSetup,7c:0e:ce:b9:40:33,2462,-87
WiFi,smartphone,1528010811465000000,VU-Campusnet,7c:0e:ce:b7:4e:f0,2437,-90
WiFi,smartphone,1528010811465000000,eduroam,7c:0e:ce:b7:4e:f1,2437,-90
WiFi,smartphone,1528010811465000000,eduroam,7c:0e:ce:b9:34:e1,2462,-90
WiFi,smartphone,1528010811465000000,VUwirelessSetup,7c:0e:ce:b7:4e:f3,2437,-89
WiFi,smartphone,1528010811465000000,VUwirelessSetup,7c:0e:ce:b9:34:e3,2462,-88
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:32:40:e0,2437,-67
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:32:40:e1,2437,-69
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:37:e7:c1,2412,-73
WiFi,smartphone,1528010811465000000,eduroam,2c:d0:2d:6a:7d:01,2412,-44
WiFi,smartphone,1528010811465000000,VU-Campusnet,2c:d0:2d:6a:7d:00,2412,-46
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:37:e7:c0,2412,-73
WiFi,smartphone,1528010811466000000,VU-Campusnet,2c:d0:2d:50:70:30,2462,-72
WiFi,smartphone,1528010811466000000,eduroam,2c:d0:2d:50:70:31,2462,-72
WiFi,smartphone,1528010811466000000,DIRECT-C0-HP OfficeJet Pro 6970,f4:30:b9:31:98:c1,2437,-79
WiFi,smartphone,1528010811466000000,VUwirelessSetup,2c:d0:2d:32:40:e3,2437,-70
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:6a:7d:03,2412,-45
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:37:e7:c3,2412,-73
WiFi,smartphone,1528010811465000000,VUwirelessSetup,2c:d0:2d:50:70:33,2462,-74
WiFi,smartphone,1528010811465000000,HP-Print-1A-ENVY 4500 series,58:20:b1:d4:10:1a,2437,-88
WiFi,smartphone,1528010811466000000,Intertain,e0:3f:49:94:38:38,2437,-84
WiFi,smartphone,1528010811466000000,eduroam,d0:c7:89:cd:d2:21,2462,-82
WiFi,smartphone,1528010811466000000,VUwirelessSetup,d0:c7:89:cd:d2:23,2462,-81
